date,metric_0,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28,metric_29,metric_30,metric_31,metric_32,metric_33,metric_34,metric_35,metric_36,metric_37,metric_38,metric_39,metric_40,metric_41,metric_42,metric_43,metric_44,metric_45,metric_46,metric_47,metric_48,metric_49,metric_50,metric_51
2022-02-25 00:00:58 UTC,7.9,49.0,40.0,1.0,0.0,0.0,30.6,30.0,0.0,17.2,1.0,0.0,16.0,24.9,8.0,0.0,8.0,0.0,0.0,8.0,1.0,49.0,8.0,35.0,0.0,122.5,8.0,8.0,0.0,0.0,0.0,32.0,52.5,110.0,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 00:03:58 UTC,7.9,48.3,40.0,1.0,0.0,0.0,30.6,30.0,0.0,17.2,1.0,0.0,16.0,25.1,8.0,0.0,8.0,0.0,0.0,8.0,1.0,48.3,8.0,35.0,0.0,112.2,8.0,8.0,0.0,0.0,0.0,32.0,52.6,110.0,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 00:04:58 UTC,7.9,48.1,40.0,1.0,0.0,0.0,30.5,30.0,0.0,17.2,1.0,0.0,16.0,25.1,8.0,0.0,8.0,0.0,0.0,8.0,1.0,48.1,8.0,35.0,0.0,109.3,8.0,8.0,0.0,0.0,0.0,32.0,52.5,110.0,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 00:05:58 UTC,7.9,47.9,40.0,1.0,0.0,0.0,30.4,30.0,0.0,17.2,1.0,0.0,16.0,25.2,8.0,0.0,8.0,0.0,0.0,8.0,1.0,47.9,40.0,35.0,0.0,106.5,8.0,8.0,0.0,0.0,0.0,32.0,52.7,110.0,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 00:06:58 UTC,7.9,47.7,40.0,1.0,0.0,0.0,30.4,30.0,0.0,17.2,1.0,0.0,16.0,25.2,8.0,0.0,8.0,0.0,0.0,8.0,1.0,47.7,40.0,35.0,0.0,103.8,8.0,8.0,0.0,0.0,0.0,0.0,46.6,110.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 00:07:58 UTC,7.9,47.4,40.0,1.0,0.0,0.0,30.4,30.0,0.0,17.2,1.0,0.0,16.0,25.2,8.0,0.0,8.0,0.0,0.0,8.0,1.0,47.4,40.0,35.0,0.0,101.9,8.0,8.0,0.0,0.0,0.0,0.0,44.7,110.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 00:08:58 UTC,7.9,47.2,40.0,1.0,0.0,0.0,30.4,30.0,0.0,17.2,1.0,0.0,16.0,25.3,8.0,0.0,8.0,0.0,0.0,8.0,1.0,47.2,40.0,35.0,0.0,101.0,8.0,8.0,0.0,0.0,0.0,0.0,44.7,110.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 00:09:58 UTC,7.9,47.0,40.0,1.0,0.0,0.0,30.3,30.0,0.0,17.2,1.0,0.0,16.0,25.3,8.0,0.0,8.0,0.0,0.0,8.0,1.0,47.0,40.0,35.0,0.0,100.4,8.0,8.0,0.0,0.0,0.0,0.0,44.7,110.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 00:10:58 UTC,7.9,46.7,40.0,1.0,0.0,0.0,30.3,30.0,0.0,17.2,1.0,0.0,16.0,25.4,8.0,0.0,8.0,0.0,0.0,8.0,1.0,46.7,40.0,35.0,0.0,99.5,8.0,8.0,0.0,0.0,0.0,0.0,44.7,110.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 00:11:58 UTC,7.9,46.5,40.0,1.0,0.0,0.0,30.3,30.0,0.0,17.2,1.0,0.0,16.0,25.4,8.0,0.0,8.0,0.0,0.0,8.0,1.0,46.5,40.0,35.0,0.0,98.5,8.0,8.0,0.0,0.0,0.0,0.0,44.6,110.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 00:12:58 UTC,7.9,46.3,40.0,1.0,0.0,0.0,30.3,30.0,0.0,17.2,1.0,0.0,16.0,25.4,8.0,0.0,8.0,0.0,0.0,8.0,1.0,46.3,40.0,35.0,0.0,97.5,8.0,8.0,0.0,0.0,0.0,0.0,44.6,110.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,180.0,1.0,0.0
